layers,units,lr,w,pw_mult,dropout,pos_weight,avg_recall,avg_f1,avg_fpr,params
1,16,0.001,8,1.0,0.1,0.7272727272727108,0.9584933333333334,0.9128306738464298,0.1969599999999803,753
1,16,0.001,8,2.0,0.1,1.4545454545454215,0.9714466666666667,0.9133353444845944,0.21249999999997873,753
1,16,0.002,8,1.0,0.1,0.7272727272727108,0.9707466666666666,0.9214890086137053,0.189439999999981,753
1,16,0.002,8,2.0,0.1,1.4545454545454215,0.9730733333333333,0.917143533198374,0.20013999999998,753
2,8,0.001,8,1.0,0.1,0.7272727272727108,0.96174,0.9227822677927018,0.17143999999998286,449
2,8,0.001,8,2.0,0.1,1.4545454545454215,0.9686533333333334,0.9150834057787222,0.19957999999998005,449
2,8,0.002,8,1.0,0.1,0.7272727272727108,0.98102,0.9589727947692207,0.10639999999998935,449
2,8,0.002,8,2.0,0.1,1.4545454545454215,0.9965266666666668,0.9442041560507027,0.16579999999998343,449
2,16,0.001,8,1.0,0.1,0.7272727272727108,0.9744733333333333,0.9329500115971285,0.1606999999999839,1025
2,16,0.001,8,2.0,0.1,1.4545454545454215,0.9931000000000001,0.9499616199851969,0.13895999999998612,1025
2,16,0.002,8,1.0,0.1,0.7272727272727108,0.9845266666666668,0.943027970628334,0.1479399999999852,1025
2,16,0.002,8,2.0,0.1,1.4545454545454215,0.9976,0.965357534630734,0.11077999999998892,1025
1,16,0.001,10,1.0,0.1,0.7272727272727108,0.96166,0.9148747613231203,0.19611999999998037,753
1,16,0.001,10,2.0,0.1,1.4545454545454215,0.96878,0.9161287338122965,0.1969399999999803,753
1,16,0.002,10,1.0,0.1,0.7272727272727108,0.9665733333333334,0.9244878265089863,0.17179999999998283,753
1,16,0.002,10,2.0,0.1,1.4545454545454215,0.97934,0.9210210380975766,0.19859999999998013,753
2,8,0.001,10,1.0,0.1,0.7272727272727108,0.9725999999999999,0.9262949631825546,0.17565999999998244,449
2,8,0.001,10,2.0,0.1,1.4545454545454215,0.9928933333333333,0.9238625411790216,0.21437999999997856,449
2,8,0.002,10,1.0,0.1,0.7272727272727108,0.9957466666666667,0.9611981592818181,0.12059999999998794,449
2,8,0.002,10,2.0,0.1,1.4545454545454215,0.9867866666666666,0.9295399371162534,0.18463999999998154,449
2,16,0.001,10,1.0,0.1,0.7272727272727108,0.9903266666666667,0.9489407841665024,0.1407999999999859,1025
2,16,0.001,10,2.0,0.1,1.4545454545454215,0.9973666666666666,0.9663906890073155,0.10851999999998914,1025
2,16,0.002,10,1.0,0.1,0.7272727272727108,0.9959,0.9654797665884403,0.10835999999998916,1025
2,16,0.002,10,2.0,0.1,1.4545454545454215,0.9986466666666667,0.9679993013989607,0.10591999999998943,1025
1,16,0.001,12,1.0,0.1,0.7272727272727108,0.9633066666666666,0.9194954487434155,0.18507999999998148,753
1,16,0.001,12,2.0,0.1,1.4545454545454215,0.9643333333333333,0.9113591956229794,0.20813999999997918,753
1,16,0.002,12,1.0,0.1,0.7272727272727108,0.9576733333333334,0.9162552009092284,0.18529999999998145,753
1,16,0.002,12,2.0,0.1,1.4545454545454215,0.9814999999999999,0.9235635640995759,0.19489999999998048,753
2,8,0.001,12,1.0,0.1,0.7272727272727108,0.9784200000000001,0.945864533360905,0.13559999999998645,449
2,8,0.001,12,2.0,0.1,1.4545454545454215,0.9957466666666667,0.9452662101258676,0.16007999999998399,449
2,8,0.002,12,1.0,0.1,0.7272727272727108,0.9693200000000001,0.9338174702109733,0.15443999999998456,449
2,8,0.002,12,2.0,0.1,1.4545454545454215,0.9975533333333333,0.9475578507067892,0.15853999999998414,449
2,16,0.001,12,1.0,0.1,0.7272727272727108,0.99314,0.9498078804540796,0.14223999999998577,1025
2,16,0.001,12,2.0,0.1,1.4545454545454215,0.9906266666666665,0.956624836198916,0.12151999999998782,1025
2,16,0.002,12,1.0,0.1,0.7272727272727108,0.9937066666666666,0.960165676727787,0.12243999999998775,1025
2,16,0.002,12,2.0,0.1,1.4545454545454215,0.9977866666666667,0.9661696178471646,0.10901999999998908,1025
